"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","tag"
"hsa-let-7a-2-3p",55.6231338495109,-0.57027369513963,0.11921299753912,-4.78365368635658,1.72137163010788e-06,5.24652097899903e-06,"Stable"
"hsa-let-7a-3p",173.443985513579,0.11012669829578,0.0771690899911523,1.42708302389476,0.153555965096021,0.208052368593441,"Stable"
"hsa-let-7a-5p",267851.631844755,-0.0448091912409873,0.0999793410276183,-0.448184502722509,0.654020046178068,0.712459099733903,"Stable"
"hsa-let-7b-3p",135.578421616798,-0.505035727152335,0.07737771360744,-6.52688873329252,6.71498911872197e-11,3.73562016022106e-10,"Stable"
"hsa-let-7b-5p",51351.5569562245,-0.383664335242816,0.0912451035949925,-4.20476628472886,2.61352078566162e-05,6.77623262526746e-05,"Stable"
"hsa-let-7c-3p",137.372655567336,-0.360651412267297,0.100644312152562,-3.58342567556727,0.000339117288959415,0.000759039869428691,"Stable"
"hsa-let-7c-5p",26745.9511144399,-0.30156146242409,0.090132677540582,-3.34575062732728,0.000820601608696211,0.001716075626945,"Stable"
"hsa-let-7d-3p",3406.93783508734,0.53707607603444,0.0763447841360804,7.03487582173435,1.99438541640606e-12,1.31354349839158e-11,"Stable"
"hsa-let-7d-5p",2126.08952473027,0.0623225273429456,0.0500641881991722,1.24485245011875,0.213185992168802,0.277626303438008,"Stable"
"hsa-let-7e-3p",169.725339127047,0.532778208712007,0.0748863274145021,7.11449241946443,1.12325442360669e-12,7.57205629090154e-12,"Stable"
"hsa-let-7e-5p",15587.9502691461,0.820089039601177,0.111978891573833,7.32360383349976,2.41398649986075e-13,1.75090413217748e-12,"Stable"
"hsa-let-7f-1-3p",25.0692396559949,-0.0645329601904723,0.0684231133924297,-0.943145627126816,0.345606420370058,0.424052417284889,"Stable"
"hsa-let-7f-2-3p",8.22075964786593,-0.0388985089575993,0.104367494544564,-0.372707126173178,0.709366432097352,0.764035649608614,"Stable"
"hsa-let-7f-5p",127862.634733498,0.0448422208531756,0.137570712596945,0.32595761122903,0.744456426412721,0.797333705298111,"Stable"
"hsa-let-7g-3p",369.689174463435,0.00674247608781844,0.0773725226787398,0.0871430302953159,0.930557822229177,0.943218994075399,"Stable"
"hsa-let-7g-5p",5682.527750391,-0.13965182521301,0.093383998772436,-1.49545775559817,0.13479501704513,0.185221929896545,"Stable"
"hsa-let-7i-3p",2385.51832049985,-0.146394786517264,0.0993713020127349,-1.47320990620111,0.140694444758766,0.192865829776969,"Stable"
"hsa-let-7i-5p",10511.3524013737,0.303065026356427,0.0861291842332112,3.51872630693704,0.000433623803267497,0.000955640151047215,"Stable"
"hsa-miR-1-3p",147.324285690698,-0.651037454462583,0.189304733612836,-3.43909759696805,0.000583656776878006,0.00127161723631596,"Stable"
"hsa-miR-100-5p",64848.9246403579,-0.721181536444726,0.106621694628707,-6.76392866345005,1.34299228971644e-11,8.01598522924497e-11,"Stable"
"hsa-miR-101-3p",148178.742488775,0.00967033517646747,0.0829446643600228,0.116587790801024,0.907186713267503,0.926591776652905,"Stable"
"hsa-miR-101-5p",111.914717914363,-0.0512023691347246,0.103564599868047,-0.494400298943484,0.621023502917201,0.68432012917607,"Stable"
"hsa-miR-103a-2-5p",9.11047109427794,0.444283160117737,0.155287867243983,2.86102944166072,0.00422267835939922,0.00765694525296124,"Stable"
"hsa-miR-103a-3p",123601.626480045,0.368336178997635,0.0726264049332057,5.07165650477113,3.94367743864245e-07,1.33711667002493e-06,"Stable"
"hsa-miR-106a-5p",34.0657357614813,-0.828141151249204,0.092034440137577,-8.99816579544856,2.29520018403993e-19,2.92255490101084e-18,"Stable"
"hsa-miR-106b-3p",1120.69530243997,-0.167935860121041,0.0773548414334418,-2.17098060068467,0.0299326388312427,0.0484502882776894,"Stable"
"hsa-miR-106b-5p",967.806709796819,-0.365700577964972,0.0645519752280036,-5.66521127623568,1.4684348883419e-08,5.84314715986049e-08,"Stable"
"hsa-miR-107",483.890943558681,0.106254506275309,0.0691679481616103,1.53618126747155,0.124493929005755,0.171478416635331,"Stable"
"hsa-miR-10a-5p",26991.317966238,-0.461480483530744,0.124013665773784,-3.72120669646635,0.000198273063103576,0.000452631335292228,"Stable"
"hsa-miR-10b-5p",105104.452135408,-0.194018610541163,0.121474134156723,-1.59720101639781,0.110220906239306,0.153292668143501,"Stable"
